time/fps,train/learning_rate,train/policy_loss,train/explained_variance,time/time_elapsed,train/ent_coef,rollout/ep_rew_mean,train/value_loss,time/total_timesteps,time/iterations,train/n_updates,train/entropy_loss,rollout/ep_len_mean
236,5.9900416e-05,-0.1610751748085022,0.9405144900083542,17431,0.051819136000000016,6.418341636657715,0.07069919258356094,4128768,504,503,-0.3137795329093933,82.39
237,5.878630400000001e-05,-0.2076375037431717,0.9458637982606888,17547,0.05024627200000001,6.589306831359863,0.06452964246273041,4161536,508,507,-0.30412328243255615,83.58
237,5.7672192e-05,-0.23531413078308105,0.9548149928450584,17665,0.04867340800000003,6.808851718902588,0.051669031381607056,4194304,512,511,-0.2918846905231476,71.44
237,5.655808000000001e-05,-0.26744094491004944,0.9501350522041321,17783,0.047100543999999994,6.660670757293701,0.06051497906446457,4227072,516,515,-0.30780112743377686,79.74
237,5.5443968e-05,-0.2144392728805542,0.9405629299581051,17900,0.045527680000000015,6.645608425140381,0.06654910743236542,4259840,520,519,-0.30064430832862854,76.67
238,5.432985600000001e-05,-0.25659269094467163,0.9347947984933853,18020,0.04395481600000001,6.390176773071289,0.06682071089744568,4292608,524,523,-0.3068788945674896,78.42
238,5.3215744000000007e-05,-0.21074098348617554,0.9458485431969166,18140,0.042381952,6.543023586273193,0.06293198466300964,4325376,528,527,-0.3112250566482544,79.62
238,5.210163199999999e-05,-0.24339422583580017,0.9498574659228325,18260,0.04080908800000002,6.557056427001953,0.05981990694999695,4358144,532,531,-0.30182600021362305,74.81
238,5.098752e-05,-0.2504454255104065,0.9474354162812233,18380,0.039236224000000014,6.625608921051025,0.06254583597183228,4390912,536,535,-0.30238717794418335,76.72
239,4.9873408e-05,-0.21838223934173584,0.9442351087927818,18499,0.03766336000000001,6.641327381134033,0.06748293340206146,4423680,540,539,-0.29627200961112976,79.02
239,4.875929600000001e-05,-0.24061179161071777,0.9544266909360886,18617,0.036090496,6.555879592895508,0.04959331080317497,4456448,544,543,-0.2969561219215393,82.63
239,4.7645184e-05,-0.2436879277229309,0.9484817460179329,18736,0.03451763200000002,6.6307268142700195,0.06007041037082672,4489216,548,547,-0.3043461740016937,76.37
239,4.653107200000001e-05,-0.22382429242134094,0.9472462758421898,18856,0.03294476800000001,6.605902671813965,0.06661281734704971,4521984,552,551,-0.2991897463798523,75.95
240,4.541696e-05,-0.16816231608390808,0.9345301687717438,18978,0.031371904000000006,6.720452785491943,0.08737730979919434,4554752,556,555,-0.29137706756591797,70.1
240,4.430284800000001e-05,-0.2550390362739563,0.9454772621393204,19101,0.02979904,6.855098724365234,0.06027853488922119,4587520,560,559,-0.2816914916038513,69.78
240,4.3188736e-05,-0.3167906403541565,0.9492737576365471,19225,0.02822617599999999,6.848896026611328,0.05627429485321045,4620288,564,563,-0.28405359387397766,73.59
240,4.207462399999999e-05,-0.2946193814277649,0.9541403949260712,19349,0.026653312000000012,6.682229518890381,0.06099240481853485,4653056,568,567,-0.2931334972381592,72.9
240,4.0960512e-05,-0.2621466815471649,0.951863557100296,19477,0.025080448000000005,6.598776817321777,0.0586661770939827,4685824,572,571,-0.28022754192352295,75.88
240,3.98464e-05,-0.22576656937599182,0.9478542394936085,19601,0.023507584000000026,6.7163777351379395,0.064414381980896,4718592,576,575,-0.2918986678123474,73.03
240,3.873228800000001e-05,-0.2887863516807556,0.941198967397213,19725,0.02193472000000002,6.775089263916016,0.06816834211349487,4751360,580,579,-0.2873520851135254,72.89
240,3.7618176e-05,-0.3190786838531494,0.9432985931634903,19851,0.020361855999999984,6.663687705993652,0.06196247413754463,4784128,584,583,-0.2845809757709503,74.09
241,3.650406400000001e-05,-0.30455535650253296,0.9519483484327793,19974,0.018788992000000004,6.719938278198242,0.05515856295824051,4816896,588,587,-0.28347301483154297,73.62
241,3.5389952e-05,-0.3112238645553589,0.9528219327330589,20096,0.017216127999999997,6.4886298179626465,0.055873699486255646,4849664,592,591,-0.2973950505256653,82.4
241,3.427583999999999e-05,-0.23734334111213684,0.9516006372869015,20223,0.015643264000000018,6.650484085083008,0.0583653524518013,4882432,596,595,-0.28787463903427124,75.17
241,3.3161728e-05,-0.3083595931529999,0.9458873718976974,20348,0.01407040000000001,6.7847676277160645,0.06604412198066711,4915200,600,599,-0.28498345613479614,71.84
241,3.2047616e-05,-0.29491105675697327,0.9499771669507027,20474,0.012497536000000031,6.604569911956787,0.052107665687799454,4947968,604,603,-0.2817458510398865,76.46
241,3.093350400000001e-05,-0.347303569316864,0.9493756406009197,20601,0.010924671999999996,6.539614200592041,0.05488895997405052,4980736,608,607,-0.2877054214477539,73.67
